"name surname : 0"
"Claire Peterson : 2673.6"
"Celeste Reyes : 6656.8"
"Eugenia Knox : 3669.6"
"Darryl Spence : 1841.6"
"Lareina Lindsey : 1425.6"
"Adrienne Short : 7860"
"Cheryl Sampson : 7648.8"
"Solomon Odom : 7753.6"
"Kiona Beck : 1354.4"
"Bradley Hodges : 5408.8"
"Seth Guerra : 3423.2"
"Tobias Reeves : 1877.6"
"Kiona Hensley : 3920.8"
"Courtney Espinoza : 5146.4"
"Sawyer Dominguez : 6728"
"Ingrid Ashley : 3200"
"Zelenia Emerson : 6177.6"
"Jermaine Levine : 4254.4"
"Gary Miller : 4600"
"Cairo Kane : 6167.2"
"Minerva Ware : 7800.8"
"Damon Merrill : 4177.6"
"George Weaver : 3379.2"
"Bevis Dodson : 6500.8"
"Sydnee Gray : 2484"
"Adria Eaton : 6015.2"
"Germane Holland : 5600"
"Audra Jackson : 3387.2"
"Edan Barron : 6485.6"
"Felicia Dejesus : 3158.4"
"Jenette Oneill : 7004"
"Brandon Key : 6916.8"
"Oprah Grimes : 7255.2"
"Leroy Buck : 3875.2"
"Ebony Campbell : 3284"
"Clarke Bartlett : 3752"
"Xandra Dillard : 7462.4"
"Mikayla Turner : 2400"
"Paki Day : 1866.4"
"Aurelia Brady : 5832.8"
"Martin Fowler : 2581.6"
"Xena Dale : 7187.2"
"Lillith Mills : 5464.8"
"Lael Ferrell : 6060.8"
"Kermit Mathis : 7244"
"Cairo Cabrera : 1890.4"
"Zia Brady : 2708.8"
"Giacomo Tyson : 1580"
"Vincent Hudson : 2351.2"
"Kiona Collier : 5522.4"
"Oscar Mckenzie : 7324"
"Rana Mcconnell : 5625.6"
"Vladimir Wiggins : 7684"
"Adrienne Norton : 6441.6"
"Xena Potter : 7433.6"
"Shoshana Todd : 6197.6"
